id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1332675833555689473,1332675833555689473,2020-11-28 18:50:53 India Standard Time,2020-11-28,18:50:53,+0530,1008355183460519936,shivams2717,M Shiva Kumar,,"@BharatBiotech.... India must recognize the efforts of @ncbn Vision, how he forecast long term benefits our Nation  #bharathbiotech",en,"[{'screen_name': 'ncbn', 'name': 'n chandrababu naidu #stayhomesavelives', 'id': '85221650'}]",[],[],0,0,0,['bharathbiotech'],[],https://twitter.com/ShivaMS2717/status/1332675833555689473,False,,0,,,,,,,,[],,,,
1332672819268730880,1332672819268730880,2020-11-28 18:38:54 India Standard Time,2020-11-28,18:38:54,+0530,1255015805772722176,tonybalraj55,tonybalraj55,,arey fucking terrorits country india have 3 biotech labs  1. bharath biotech 2. shanta biotech 3. zaidus biotech he is going through every biotech to get the status of vaccine preperation .,en,[],[],[],0,0,0,[],[],https://twitter.com/tonybalraj55/status/1332672819268730880,False,https://twitter.com/Ayesha2Saeed/status/1332602338511564803,0,,,,,,,,[],,,,
1332667458692452354,1332667458692452354,2020-11-28 18:17:36 India Standard Time,2020-11-28,18:17:36,+0530,34745021,arktheace,The Ark,,#ncbn #GenomeValleyOfIndia #bharathbiotech,und,[],[],[],0,0,1,"['ncbn', 'genomevalleyofindia', 'bharathbiotech']",[],https://twitter.com/ArkTheAce/status/1332667458692452354,False,https://twitter.com/theind_india/status/1332320472717901826,0,,,,,,,,[],,,,
1332666194747215872,1332666194747215872,2020-11-28 18:12:35 India Standard Time,2020-11-28,18:12:35,+0530,1283651288245264384,nbtvl,NBTV Live,,ഭാരത് ബയോടെക് വാക്​സിന്‍ നിര്‍മാണ കേന്ദ്രം പ്രധാനമന്ത്രി സന്ദര്‍ശിച്ചു   https://t.co/heyaWHsBen #bharathbiotech #COVIDー19 #CoronaVaccine #India @PMOIndia,ml,"[{'screen_name': 'pmoindia', 'name': 'pmo india', 'id': '471741741'}]",['https://nbtv.live/modi-visits-bharat-biotech-vaccine-manufacturing-center/'],[],0,0,4,"['bharathbiotech', 'covidー19', 'coronavaccine', 'india']",[],https://twitter.com/NbtvL/status/1332666194747215872,False,,0,,,,,,,,[],,,,
1332662692100730882,1332662692100730882,2020-11-28 17:58:40 India Standard Time,2020-11-28,17:58:40,+0530,52877595,igtelugu,IndiaGlitz™ l తెలుగు,,#Modi visits #Hyderabad's Biotech facility to examine vaccine development  #BharathBiotech #CovidVaccine #News #IndiaGlitzTelugu #PMModi    https://t.co/xu9blpP7WY,en,[],['https://www.indiaglitz.com/modi-visits-hyderabads-biotech-facility-to-examine-vaccine-development-telugu-news-275000'],[],0,0,7,"['modi', 'hyderabad', 'bharathbiotech', 'covidvaccine', 'news', 'indiaglitztelugu', 'pmmodi']",[],https://twitter.com/igtelugu/status/1332662692100730882,False,,0,,,,,,,,[],,,,
1332659474792808450,1332659474792808450,2020-11-28 17:45:53 India Standard Time,2020-11-28,17:45:53,+0530,2269137223,syna_777,SyNa,,Lastest images from Bharath Biotech of discussion between Pradhan sevak &amp; the Scientists 🤡  https://t.co/FrvI9Ib4R6,en,[],[],['https://pbs.twimg.com/media/En6OuVJVgAEtY0n.jpg'],1,2,9,[],[],https://twitter.com/SyNa_777/status/1332659474792808450,False,,1,https://pbs.twimg.com/media/En6OuVJVgAEtY0n.jpg,,,,,,,[],,,,
1332644152312438784,1332644152312438784,2020-11-28 16:44:59 India Standard Time,2020-11-28,16:44:59,+0530,1309360990824226816,anynews_app,AnyNews,,PM @narendramodi reaches hyderabad to visit Bharath Biotech plant. #anynews #anywhereanytime #Corona #CoronaVaccine  https://t.co/JQ0p3hdUlE,en,"[{'screen_name': 'narendramodi', 'name': 'narendra modi', 'id': '18839785'}]",[],['https://pbs.twimg.com/media/En6AytCVoAEa4fi.jpg'],0,0,0,"['anynews', 'anywhereanytime', 'corona', 'coronavaccine']",[],https://twitter.com/AnyNews_App/status/1332644152312438784,False,,1,https://pbs.twimg.com/media/En6AytCVoAEa4fi.jpg,,,,,,,[],,,,
1332642895422099459,1332642895422099459,2020-11-28 16:40:00 India Standard Time,2020-11-28,16:40:00,+0530,279559837,abntelugutv,ABN Telugu,,టీడీపీ హయాంలోనే జినోమ్‌వ్యాలీ నిర్మాణం Read More At:  https://t.co/f1K9C1ze07 #WhoIsBharathBiotech  #TDP #ChandrababuNaidu #bharathbiotech  https://t.co/jzKit6uPBG,te,[],['https://www.andhrajyothy.com/telugunews/who-is-bharath-biotech-2020112803323190'],['https://pbs.twimg.com/media/En55xKBUYAIQjW6.png'],2,1,8,"['whoisbharathbiotech', 'tdp', 'chandrababunaidu', 'bharathbiotech']",[],https://twitter.com/abntelugutv/status/1332642895422099459,False,,1,https://pbs.twimg.com/media/En55xKBUYAIQjW6.png,,,,,,,[],,,,
1332640025381646336,1332640025381646336,2020-11-28 16:28:35 India Standard Time,2020-11-28,16:28:35,+0530,2845606620,truly_jayanth,Jayanth PowerKing,,@BharatBiotech Reaction after Seeing @abntelugutv Tweet😅😅 #BharathBioTech #CoronaVaccine #COVIDー19 #COVAXIN  https://t.co/2NsG7bm9zt,en,"[{'screen_name': 'abntelugutv', 'name': 'abn telugu', 'id': '279559837'}]",[],['https://pbs.twimg.com/tweet_video_thumb/En59B3nUYAAzZlU.jpg'],0,0,0,"['bharathbiotech', 'coronavaccine', 'covidー19', 'covaxin']",[],https://twitter.com/truly_jayanth/status/1332640025381646336,False,https://twitter.com/abntelugutv/status/1332616391422144514,1,https://pbs.twimg.com/tweet_video_thumb/En59B3nUYAAzZlU.jpg,,,,,,,[],,,,
1332636927405694976,1332636927405694976,2020-11-28 16:16:17 India Standard Time,2020-11-28,16:16:17,+0530,1252235168070299661,jlakshm41286054,J Lakshminarayana,,"కరోనా వ్యాక్సిన్‌ అభివృద్ధిపై హైదరాబాద్ జినోమ్‌వ్యాలీలోని భారత్ బయోటెక్‌ను సందర్శించిన ప్రధాని శ్రీ నరేంద్ర మోదీ..  భారత్ బయోటెక్ రూపొందిస్తున్న కొవాగ్జిన్ తయారీ పరిశీలన.. వ్యాక్సిన్ ప‌నితీరు, ఉత్ప‌త్తిపై పర్యవేక్షణ@అమరావతి #narendramodi #PMOIndia #Bharath #biotech #Hyderabad  https://t.co/SAXzHfxEfm",te,[],[],['https://pbs.twimg.com/media/En56OO1UYAMqrqN.jpg'],0,0,0,"['narendramodi', 'pmoindia', 'bharath', 'biotech', 'hyderabad']",[],https://twitter.com/JLakshm41286054/status/1332636927405694976,False,,1,https://pbs.twimg.com/media/En56OO1UYAMqrqN.jpg,,,,,,,[],,,,
